Student ID,What degree are you pursuing?,business,Coding,Work Experience,1,2,3,4,5,6,7,8,9,10,First Name,Last Name,Gender
1,0,0,0,0,6,9,8,2,4,7,1,5,10,3,Elise,Colbert,1
2,0,0,0,0,4,2,6,10,8,1,9,7,5,3,Tasha,Kewalramani,1
3,1,0,0,0,6,1,10,4,3,5,2,8,7,9,Mikael,Stepanek,0
4,1,0,0,0,9,4,3,1,2,8,10,5,7,6,Finlay,Jedinak,1
5,1,0,0,0,1,9,2,7,10,3,8,4,5,6,Baldovino,Boveri,1
6,1,0,0,0,4,3,5,1,8,10,9,7,6,2,Felinus,Buckley,1
7,0,0,0,0,9,5,6,10,1,7,3,8,2,4,Victoria,Hoffmeister,1
8,2,0,0,0,2,5,6,10,8,9,4,3,7,1,J,j,1
9,1,0,0,0,10,2,4,3,9,1,5,6,8,7,Maria,Aling,1
10,1,0,0,0,9,1,3,5,4,2,10,7,6,8,Sandeep,Svoboda,0
11,2,0,0,0,9,2,8,7,5,4,3,6,10,1,Lady,Gaga,1
12,0,0,0,0,7,6,9,5,1,4,3,10,2,8,Kenneth,Wong,0
13,1,0,0,0,5,3,10,2,1,6,7,8,9,4,Abaddon,Henriques,1
14,0,0,0,0,5,4,10,1,8,6,9,7,2,3,Hanna,Ramsden,1
15,1,0,0,0,10,1,8,9,4,5,2,6,7,3,David,Royceston,0
16,0,0,0,0,4,2,10,9,7,5,6,8,1,3,Megan,Teeking,1
17,2,0,0,0,4,10,7,5,3,6,2,9,8,1,Health,Jam,1
18,0,0,0,0,2,9,5,10,4,6,3,7,8,1,Daniel,Wilbanks,1
19,0,0,0,0,4,3,9,10,2,6,7,5,1,8,Charles,Lok,1
20,1,0,0,0,3,8,5,6,10,4,1,9,7,2,Hans,Wojewodka,1
21,0,0,0,0,3,7,1,9,2,5,8,10,6,4,Louis,Ambrogio,1
22,3,0,0,0,8,10,6,2,7,5,1,3,4,9,Elton,John,1
23,3,0,0,0,6,8,2,7,1,3,10,9,4,5,Pearl,Jam,0
24,1,0,0,0,8,1,9,10,2,4,6,5,7,3,Kendall,Trujillo,1
25,0,0,0,0,3,10,4,6,9,7,5,2,1,8,Gregory,Pon,1
26,3,0,0,0,2,6,5,9,4,8,10,7,1,3,Student,Name,1
27,3,0,0,0,3,7,8,10,4,1,5,2,9,6,Testing,Test,0
28,1,0,0,0,8,6,7,9,1,3,4,2,5,10,Andre,Van Der Beek,0
29,0,0,0,0,7,5,2,9,3,6,1,10,4,8,Ryan,Gosling,0
30,1,0,0,0,5,7,8,2,1,4,3,6,9,10,Sean,Du,0
31,0,0,0,0,3,1,4,6,5,7,2,8,9,10,Orlando,Bloom,0
32,3,0,0,0,8,1,2,3,4,9,7,6,5,10,Leonardo,DiCaprio,0
33,3,0,0,0,3,7,8,6,4,2,1,9,10,5,Kristen,Bell,0
34,1,0,0,0,5,6,1,8,10,7,3,9,2,4,Ask,Bukowski,0
35,1,0,0,0,8,7,9,5,3,4,10,1,6,2,Vincent,Straub,0
36,3,0,0,0,3,6,9,2,8,7,10,1,4,5,Cindy,Lauper,1
37,3,0,0,0,9,5,6,7,3,8,10,1,2,4,Bruce,Springstein,0
38,1,0,0,0,3,5,8,4,10,9,2,1,6,7,Thor,Jonckheer,0
39,3,0,0,0,1,7,8,2,5,6,10,3,9,4,Taylor,Swift,1
40,0,0,0,0,6,3,9,1,5,10,4,2,8,7,Emma,Sahn,1
41,1,0,0,0,10,4,7,9,2,5,6,1,3,8,Armando,Nordskov,0
42,3,0,0,0,6,9,7,10,2,1,3,8,5,4,Joshua,Jackson,0
43,0,0,0,0,1,9,10,8,4,3,7,2,5,6,Draco,Malfoy,0
44,3,0,0,0,5,4,2,1,9,6,3,10,8,7,Katie,Holmes,1
45,3,0,0,0,5,3,10,1,6,7,9,2,8,4,Michelle,Williams,1
46,0,0,0,0,3,1,8,9,10,5,2,7,6,4,Gregory,Pass,0
47,0,0,0,0,8,2,3,5,6,1,10,4,9,7,Donald,Trump,0
48,0,0,0,0,9,8,10,1,3,2,6,4,7,5,Harry,Potter,0
49,0,0,0,0,3,2,8,5,7,1,9,4,6,10,Hermione,Granger,1
50,0,0,0,0,6,2,1,4,5,9,3,8,7,10,Elise,Colbert,1
51,0,0,0,0,10,6,9,8,5,2,4,7,1,3,Tasha,Kewalramani,1
52,1,0,0,0,1,9,4,3,8,6,2,5,7,10,Mikael,Stepanek,0
53,1,0,0,0,3,9,4,8,2,1,6,10,5,7,Finlay,Jedinak,1
54,1,0,0,0,6,2,4,9,5,10,7,1,8,3,Baldovino,Boveri,1
55,1,0,0,0,8,5,9,6,7,10,4,2,1,3,Felinus,Buckley,1
56,0,0,0,0,5,1,3,7,9,6,2,10,8,4,Victoria,Hoffmeister,1
57,2,0,0,0,3,1,10,2,4,8,5,9,6,7,J,j,1
58,1,0,0,0,1,9,2,8,6,4,3,10,7,5,Maria,Aling,1
59,1,0,0,0,8,10,6,5,4,2,1,3,9,7,Sandeep,Svoboda,0
60,2,0,0,0,7,2,6,5,9,10,3,4,1,8,Lady,Gaga,1
61,0,0,0,0,3,7,1,8,6,4,10,2,5,9,Kenneth,Wong,0
62,1,0,0,0,6,10,4,2,7,9,1,8,3,5,Abaddon,Henriques,1
63,0,0,0,0,5,4,7,10,9,6,1,8,2,3,Hanna,Ramsden,1
64,1,0,0,0,9,1,10,4,8,5,3,2,7,6,David,Royceston,0
65,0,0,0,0,2,10,9,6,4,5,3,1,7,8,Megan,Teeking,1
66,2,0,0,0,10,3,9,6,1,7,5,2,8,4,Health,Jam,1
67,0,0,0,0,4,5,9,2,8,10,3,6,1,7,Daniel,Wilbanks,1
68,0,0,0,0,9,4,6,2,5,1,3,7,8,10,Charles,Lok,1
69,1,0,0,0,4,5,10,7,1,2,6,3,9,8,Hans,Wojewodka,1
